"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","ENERGY_SOURCE.ID","ENERGY_SOURCE","FREQUENCY.ID","FREQUENCY","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:RE(2.0.1)","AUS.EIC_MW.BIOENERGY.A","OBS_VALUE","AUS","Australia","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","864","864","864","871","871","871","871.36"
"IMF.STA:RE(2.0.1)","U142.EIC_MW.FOSSILFUELS.A","OBS_VALUE","U142","Asia","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","2268142.128","2361408.816","2432893.074","2503986.881","2562734.824","2623793.748","2701079.718"
"IMF.STA:RE(2.0.1)","AND.EIC_MW.BIOENERGY.A","OBS_VALUE","AND","Andorra, Principality of","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","5","5","5","5","5","5","5"
"IMF.STA:RE(2.0.1)","AFG.EG_GWH.HYDROPOWER.A","OBS_VALUE","AFG","Afghanistan, Islamic Republic of","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","1042.548","881.785","1220.959","988.256","849.791","737.882",""
"IMF.STA:RE(2.0.1)","ARG.EG_GWH.SOLARENERGY.A","OBS_VALUE","ARG","Argentina","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","16.557","108.272","800.947","1345.608","2203.869","2941.54",""
"IMF.STA:RE(2.0.1)","AND.EG_GWH.BIOENERGY.A","OBS_VALUE","AND","Andorra, Principality of","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","17","20.511","21.544","19.833","16.897","18.765",""
"IMF.STA:RE(2.0.1)","U002.EG_GWH.SOLARENERGY.A","OBS_VALUE","U002","Africa","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","7926.83","10232.217","13199.761","17423.468","21046.747","22463.281","0"
"IMF.STA:RE(2.0.1)","U019.EG_GWH.FOSSILFUELS.A","OBS_VALUE","U019","Americas","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","3515644.786","3650852.279","3546769.594","3325657.053","3515608.548","3451791.798","0"
"IMF.STA:RE(2.0.1)","U019.EIC_MW.HYDROPOWER.A","OBS_VALUE","U019","Americas","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","351614.574","357900.737","363298.322","364166.864","365745.845","368005.195","368784.204"
"IMF.STA:RE(2.0.1)","ATG.EIC_MW.FOSSILFUELS.A","OBS_VALUE","ATG","Antigua and Barbuda","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","81","72.7","80.2","75","62.55","62.55","103.35"
