"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","ENERGY_SOURCE.ID","ENERGY_SOURCE","FREQUENCY.ID","FREQUENCY","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:RE(2.0.1)","BGR.EIC_MW.FOSSILFUELS.A","OBS_VALUE","BGR","Bulgaria","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","3733.36","4150.975","4040.362","3758.402","3806.665","3974.582","3978.582"
"IMF.STA:RE(2.0.1)","CHN.EIC_MW.HYDROPOWER.A","OBS_VALUE","CHN","China, People's Republic of","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","314384.938","322271.434","327750","338670","354530","367710","370600"
"IMF.STA:RE(2.0.1)","HKG.EG_GWH.HYDROPOWER.A","OBS_VALUE","HKG","Hong Kong Special Administrative Region, People's Republic of China","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","2.848","3.07","3.077","1.512","1.512","1.512",""
"IMF.STA:RE(2.0.1)","VGB.EIC_MW.FOSSILFUELS.A","OBS_VALUE","VGB","British Virgin Islands","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","63.01","63.01","63.01","63.01","63.04","63.04","63.04"
"IMF.STA:RE(2.0.1)","CAF.EG_GWH.SOLARENERGY.A","OBS_VALUE","CAF","Central African Republic","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","0.426","0.426","0.426","0.426","0.426","0.426",""
"IMF.STA:RE(2.0.1)","TCD.EIC_MW.SOLARENERGY.A","OBS_VALUE","TCD","Chad","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","0.19","0.562","0.557","1.106","1.592","1.638","1.638"
"IMF.STA:RE(2.0.1)","CHL.EIC_MW.HYDROPOWER.A","OBS_VALUE","CHL","Chile","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","6645.355","6634.017","6679.286","6934.296","6806.873","7288.834","7473.131"
"IMF.STA:RE(2.0.1)","BRN.EIC_MW.FOSSILFUELS.A","OBS_VALUE","BRN","Brunei Darussalam","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","993.19","1006","1006","1226","1226","1226","1226"
"IMF.STA:RE(2.0.1)","U143.EG_GWH.SOLARENERGY.A","OBS_VALUE","U143","Central Asia","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","99.329","148.138","563.24","1350","1690.09","2190.5","0"
"IMF.STA:RE(2.0.1)","BFA.EIC_MW.FOSSILFUELS.A","OBS_VALUE","BFA","Burkina Faso","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","289.16","289.16","339.16","339.16","389.16","389.16","395"
"IMF.STA:RE(2.0.1)","BGR.EIC_MW.SOLARENERGY.A","OBS_VALUE","BGR","Bulgaria","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","1030.701","1033.058","1044.39","1100.211","1274.713","1737.184","2937.184"
"IMF.STA:RE(2.0.1)","CHL.EIC_MW.WINDENERGY.A","OBS_VALUE","CHL","Chile","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","1305.448","1523.83","1620.074","2340.396","3137.006","3829.679","4510.214"
"IMF.STA:RE(2.0.1)","HKG.EG_GWH.SOLARENERGY.A","OBS_VALUE","HKG","Hong Kong Special Administrative Region, People's Republic of China","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","5.895","6.458","15.699","52.235","120.359","179.168",""
"IMF.STA:RE(2.0.1)","CHL.EG_GWH.SOLARENERGY.A","OBS_VALUE","CHL","Chile","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","3927.019","5242.204","6465.463","8056.744","10663.92","15911.517",""
"IMF.STA:RE(2.0.1)","CPV.EG_GWH.SOLARENERGY.A","OBS_VALUE","CPV","Cabo Verde","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","6.61","9.121","8.985","6.591","6.884","72.238",""
"IMF.STA:RE(2.0.1)","TCD.EG_GWH.FOSSILFUELS.A","OBS_VALUE","TCD","Chad","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","325.64","325.64","325.64","325.64","325.64","325.64",""
"IMF.STA:RE(2.0.1)","KHM.EG_GWH.BIOENERGY.A","OBS_VALUE","KHM","Cambodia","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","106.242","109.635","130.691","101.542","89.632","52.422",""
"IMF.STA:RE(2.0.1)","BRA.EIC_MW.WINDENERGY.A","OBS_VALUE","BRA","Brazil","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","12304.243","14843.077","15438.379","17198.311","21161.346","24163.138","29135.122"
"IMF.STA:RE(2.0.1)","CMR.EG_GWH.SOLARENERGY.A","OBS_VALUE","CMR","Cameroon","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","15.911","16.27","17.446","18.631","36.048","36.153",""
"IMF.STA:RE(2.0.1)","BGR.EG_GWH.FOSSILFUELS.A","OBS_VALUE","BGR","Bulgaria","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","23237.329","21014.34","19742.16","16123.831","20489.715","24339.745",""
"IMF.STA:RE(2.0.1)","CAF.EG_GWH.HYDROPOWER.A","OBS_VALUE","CAF","Central African Republic","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","141.265","141.265","141.265","141.265","141.265","141.265",""
"IMF.STA:RE(2.0.1)","KHM.EG_GWH.SOLARENERGY.A","OBS_VALUE","KHM","Cambodia","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","36.398","62.216","139.71","337.613","661.373","753.894",""
"IMF.STA:RE(2.0.1)","CAN.EG_GWH.SOLARENERGY.A","OBS_VALUE","CAN","Canada","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","3308","3491","3752","4072","5113","5737",""
"IMF.STA:RE(2.0.1)","KHM.EIC_MW.BIOENERGY.A","OBS_VALUE","KHM","Cambodia","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","75.27","75.97","75.97","68.27","66.27","75.27","75.27"
"IMF.STA:RE(2.0.1)","BGR.EIC_MW.HYDROPOWER.A","OBS_VALUE","BGR","Bulgaria","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","2507.55","2515","2514.35","2512.456","2505.233","2525.923","2525.923"
"IMF.STA:RE(2.0.1)","CPV.EIC_MW.WINDENERGY.A","OBS_VALUE","CPV","Cabo Verde","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","27.2","26.9","26.9","26.9","26.9","26.9","26.8"
"IMF.STA:RE(2.0.1)","CMR.EIC_MW.SOLARENERGY.A","OBS_VALUE","CMR","Cameroon","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","11.58","11.841","12.697","13.56","26.236","26.312","62.312"
"IMF.STA:RE(2.0.1)","BDI.EIC_MW.BIOENERGY.A","OBS_VALUE","BDI","Burundi","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","4","4","4","4","4","4","4"
"IMF.STA:RE(2.0.1)","VGB.EG_GWH.WINDENERGY.A","OBS_VALUE","VGB","British Virgin Islands","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","1.533","1.533","2.453","2.455","2.455","2.455",""
"IMF.STA:RE(2.0.1)","KHM.EG_GWH.FOSSILFUELS.A","OBS_VALUE","KHM","Cambodia","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","3858.68","3355.875","4465.86","4365.78","4009.24","3490.38",""
"IMF.STA:RE(2.0.1)","U143.EIC_MW.WINDENERGY.A","OBS_VALUE","U143","Central Asia","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","113.15","122.2","284.55","487.05","684.7","1108.5","1440.75"
"IMF.STA:RE(2.0.1)","CYM.EIC_MW.FOSSILFUELS.A","OBS_VALUE","CYM","Cayman Islands","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","174.65","174.65","174.65","174.65","174.65","179.25","184.25"
"IMF.STA:RE(2.0.1)","CHL.EG_GWH.FOSSILFUELS.A","OBS_VALUE","CHL","Chile","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","44566.791","44263.696","45169.932","43093.91","45028.72","40666",""
"IMF.STA:RE(2.0.1)","BRN.EG_GWH.FOSSILFUELS.A","OBS_VALUE","BRN","Brunei Darussalam","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","4155.805","4292.005","4449.158","4508.277","4450.445","4389.202",""
"IMF.STA:RE(2.0.1)","HKG.EG_GWH.FOSSILFUELS.A","OBS_VALUE","HKG","Hong Kong Special Administrative Region, People's Republic of China","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","36911","36458","36775","35004.08","36797.5","35766",""
"IMF.STA:RE(2.0.1)","CAF.EG_GWH.FOSSILFUELS.A","OBS_VALUE","CAF","Central African Republic","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","5.182","5.182","5.182","5.182","5.182","5.182",""
"IMF.STA:RE(2.0.1)","BGR.EG_GWH.SOLARENERGY.A","OBS_VALUE","BGR","Bulgaria","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","1402.97","1342.788","1417.286","1468.72","1466.598","2093.838",""
"IMF.STA:RE(2.0.1)","BFA.EG_GWH.FOSSILFUELS.A","OBS_VALUE","BFA","Burkina Faso","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","957.903","875.294","588.1","528.214","686.356","565.62",""
"IMF.STA:RE(2.0.1)","CHL.EIC_MW.BIOENERGY.A","OBS_VALUE","CHL","Chile","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","502.039","503.054","501.631","470.316","490.973","489.612","521.612"
"IMF.STA:RE(2.0.1)","CAN.EIC_MW.BIOENERGY.A","OBS_VALUE","CAN","Canada","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","2785.302","2791.552","2684.557","2691.457","2691.457","2699.857","2699.857"
"IMF.STA:RE(2.0.1)","BRA.EG_GWH.SOLARENERGY.A","OBS_VALUE","BRA","Brazil","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","840.974","3473.138","6666.305","10760.078","16764.018","30138.199",""
"IMF.STA:RE(2.0.1)","CAF.EIC_MW.SOLARENERGY.A","OBS_VALUE","CAF","Central African Republic","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","0.274","0.299","0.296","0.339","0.337","0.334","25.334"
"IMF.STA:RE(2.0.1)","CAN.EG_GWH.BIOENERGY.A","OBS_VALUE","CAN","Canada","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","11364","10995","10781.999","10023.001","10056","9060",""
"IMF.STA:RE(2.0.1)","TCD.EG_GWH.SOLARENERGY.A","OBS_VALUE","TCD","Chad","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","0.3","0.888","0.881","1.747","2.516","2.588",""
"IMF.STA:RE(2.0.1)","CHL.EG_GWH.WINDENERGY.A","OBS_VALUE","CHL","Chile","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","3625.559","3587.895","4895.225","5602.299","7628.098","8893",""
"IMF.STA:RE(2.0.1)","CHL.EIC_MW.SOLARENERGY.A","OBS_VALUE","CHL","Chile","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","1841.03","2315.376","2715.535","3302.413","4624.214","6686.94","8898.327"
"IMF.STA:RE(2.0.1)","HKG.EIC_MW.FOSSILFUELS.A","OBS_VALUE","HKG","Hong Kong Special Administrative Region, People's Republic of China","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","10510","10300","10243","10497.2","10751.4","10583","10583"
"IMF.STA:RE(2.0.1)","BDI.EG_GWH.SOLARENERGY.A","OBS_VALUE","BDI","Burundi","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","2.902","2.92","2.982","3.199","2.357","2.118",""
"IMF.STA:RE(2.0.1)","KHM.EIC_MW.HYDROPOWER.A","OBS_VALUE","KHM","Cambodia","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","979.7","1329.7","1329.7","1329.7","1329.7","1676","1791"
"IMF.STA:RE(2.0.1)","CAN.EG_GWH.WINDENERGY.A","OBS_VALUE","CAN","Canada","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","31511","33468","32873","35761","36006","36853",""
"IMF.STA:RE(2.0.1)","HKG.EIC_MW.SOLARENERGY.A","OBS_VALUE","HKG","Hong Kong Special Administrative Region, People's Republic of China","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","1","1","89","91","95.341","184.8","191.15"
"IMF.STA:RE(2.0.1)","KHM.EIC_MW.FOSSILFUELS.A","OBS_VALUE","KHM","Cambodia","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","859.34","818.024","978.226","1334.06","1294.598","1688.43","1700"
"IMF.STA:RE(2.0.1)","KHM.EIC_MW.SOLARENERGY.A","OBS_VALUE","KHM","Cambodia","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","31.908","42.045","137.281","329.802","392.257","477.057","481.881"
"IMF.STA:RE(2.0.1)","CAN.EIC_MW.SOLARENERGY.A","OBS_VALUE","CAN","Canada","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","3419","3719","4007","4379","5261","5438.5","5884.01"
"IMF.STA:RE(2.0.1)","CPV.EG_GWH.WINDENERGY.A","OBS_VALUE","CPV","Cabo Verde","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","68.318","80.231","73.795","63.932","73.784","73.784",""
"IMF.STA:RE(2.0.1)","CHL.EG_GWH.BIOENERGY.A","OBS_VALUE","CHL","Chile","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","6062.058","5688.768","5393.952","5236.978","5604.365","4595",""
"IMF.STA:RE(2.0.1)","CAF.EIC_MW.FOSSILFUELS.A","OBS_VALUE","CAF","Central African Republic","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","22","22","22","22","72","72","72"
"IMF.STA:RE(2.0.1)","CHL.EIC_MW.FOSSILFUELS.A","OBS_VALUE","CHL","Chile","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","12780.525","12323.467","12533.58","12089.704","12594.817","12650.74","12124.943"
"IMF.STA:RE(2.0.1)","CYM.EG_GWH.FOSSILFUELS.A","OBS_VALUE","CYM","Cayman Islands","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","740.57","720.195","759.107","726.129","735.435","755.669",""
"IMF.STA:RE(2.0.1)","TCD.EIC_MW.BIOENERGY.A","OBS_VALUE","TCD","Chad","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","2","2","2","2","2","2","2"
"IMF.STA:RE(2.0.1)","HKG.EG_GWH.WINDENERGY.A","OBS_VALUE","HKG","Hong Kong Special Administrative Region, People's Republic of China","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","1.127","1.043","0.988","1.026","0.832","0.832",""
"IMF.STA:RE(2.0.1)","HKG.EIC_MW.HYDROPOWER.A","OBS_VALUE","HKG","Hong Kong Special Administrative Region, People's Republic of China","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","0.5","0.5","0.5","0.5","0.5","0.66","0.66"
"IMF.STA:RE(2.0.1)","BFA.EIC_MW.SOLARENERGY.A","OBS_VALUE","BFA","Burkina Faso","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","38.252","53.695","55.426","55.916","56.701","87.296","176.909"
"IMF.STA:RE(2.0.1)","U143.EG_GWH.WINDENERGY.A","OBS_VALUE","U143","Central Asia","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","339.8","460.583","732.9","1092.2","1777.61","2361.8","0"
"IMF.STA:RE(2.0.1)","CHN.EG_GWH.FOSSILFUELS.A","OBS_VALUE","CHN","China, People's Republic of","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","4656605.197","5005749.36","5107845.54","5197280","5640780","5705850",""
"IMF.STA:RE(2.0.1)","BDI.EG_GWH.BIOENERGY.A","OBS_VALUE","BDI","Burundi","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","6.586","5.669","5.426","5.548","5.548","5.548",""
"IMF.STA:RE(2.0.1)","TCD.EG_GWH.BIOENERGY.A","OBS_VALUE","TCD","Chad","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","8.661","8.237","6.6","7.606","8.202","8.612",""
"IMF.STA:RE(2.0.1)","U143.EIC_MW.FOSSILFUELS.A","OBS_VALUE","U143","Central Asia","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","38503.48","40094.57","41849.8","41943.1","42486.8","43278.8","44095.3"
"IMF.STA:RE(2.0.1)","HKG.EIC_MW.WINDENERGY.A","OBS_VALUE","HKG","Hong Kong Special Administrative Region, People's Republic of China","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","0.803","0.803","0.803","0.803","0.803","0.8","0.8"
"IMF.STA:RE(2.0.1)","KHM.EG_GWH.HYDROPOWER.A","OBS_VALUE","KHM","Cambodia","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","2711.14","4737.013","4025.34","3860.03","5043.94","5898.32",""
"IMF.STA:RE(2.0.1)","BRN.EG_GWH.SOLARENERGY.A","OBS_VALUE","BRN","Brunei Darussalam","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","1.565","1.589","1.079","1.107","1.121","1.106",""
"IMF.STA:RE(2.0.1)","CAN.EIC_MW.HYDROPOWER.A","OBS_VALUE","CAN","Canada","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","80657","81396","81396","81209","82133","83138","83138"
"IMF.STA:RE(2.0.1)","CMR.EIC_MW.FOSSILFUELS.A","OBS_VALUE","CMR","Cameroon","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","694.952","701.222","701.222","701.222","702.582","702.582","702.582"
"IMF.STA:RE(2.0.1)","CYM.EIC_MW.WINDENERGY.A","OBS_VALUE","CYM","Cayman Islands","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","","0.8","0.8","0.8","0.8","0.8","0.8"
"IMF.STA:RE(2.0.1)","CAN.EG_GWH.FOSSILFUELS.A","OBS_VALUE","CAN","Canada","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","120209","123437","121373","116350","116376","114142",""
"IMF.STA:RE(2.0.1)","CAN.EIC_MW.WINDENERGY.A","OBS_VALUE","CAN","Canada","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","12250","12816","13220","13532","13722","15081","16989.418"
"IMF.STA:RE(2.0.1)","TCD.EG_GWH.WINDENERGY.A","OBS_VALUE","TCD","Chad","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","8.9","8.9","8.9","8.9","8.9","8.9",""
"IMF.STA:RE(2.0.1)","BRA.EIC_MW.BIOENERGY.A","OBS_VALUE","BRA","Brazil","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","14574.928","14820.683","15358.762","15689.563","16363.694","17223.892","17596.939"
"IMF.STA:RE(2.0.1)","U143.EIC_MW.SOLARENERGY.A","OBS_VALUE","U143","Central Asia","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","62","212.5","545.2","915.32","1141.33","1398.952","1558.8"
"IMF.STA:RE(2.0.1)","BGR.EG_GWH.WINDENERGY.A","OBS_VALUE","BGR","Bulgaria","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","1504.064","1318.123","1316.988","1477.131","1433.561","1499.125",""
"IMF.STA:RE(2.0.1)","CMR.EIC_MW.HYDROPOWER.A","OBS_VALUE","CMR","Cameroon","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","732.096","732.096","812.516","812.516","812.516","813.996","813.996"
"IMF.STA:RE(2.0.1)","BGR.EG_GWH.BIOENERGY.A","OBS_VALUE","BGR","Bulgaria","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","395.981","1572.966","1820.811","1699.341","2588.892","2243.594",""
"IMF.STA:RE(2.0.1)","VGB.EG_GWH.SOLARENERGY.A","OBS_VALUE","VGB","British Virgin Islands","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","1.552","1.566","1.635","1.725","2.104","2.494",""
"IMF.STA:RE(2.0.1)","CYM.EIC_MW.SOLARENERGY.A","OBS_VALUE","CYM","Cayman Islands","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","8.766","9.917","11.194","12.837","13.801","13.801","14.1"
"IMF.STA:RE(2.0.1)","VGB.EIC_MW.WINDENERGY.A","OBS_VALUE","VGB","British Virgin Islands","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","0.5","0.5","0.801","0.801","0.801","0.801","0.801"
"IMF.STA:RE(2.0.1)","BGR.EG_GWH.HYDROPOWER.A","OBS_VALUE","BGR","Bulgaria","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","2828.103","5146.578","2929.499","2820.398","4819.205","3803.279",""
"IMF.STA:RE(2.0.1)","CAF.EIC_MW.HYDROPOWER.A","OBS_VALUE","CAF","Central African Republic","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","18.85","18.85","18.85","18.85","18.85","18.85","18.85"
"IMF.STA:RE(2.0.1)","BFA.EG_GWH.BIOENERGY.A","OBS_VALUE","BFA","Burkina Faso","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","1.3","1.3","1.3","1.3","1.3","1.3",""
"IMF.STA:RE(2.0.1)","BRN.EIC_MW.SOLARENERGY.A","OBS_VALUE","BRN","Brunei Darussalam","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","1.215","1.215","1.216","1.45","4.87","4.898","5.037"
"IMF.STA:RE(2.0.1)","CHN.EIC_MW.FOSSILFUELS.A","OBS_VALUE","CHN","China, People's Republic of","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","1072776","1126270","1167024.147","1216020","1259720","1295650","1346230"
"IMF.STA:RE(2.0.1)","BFA.EIC_MW.BIOENERGY.A","OBS_VALUE","BFA","Burkina Faso","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","0.9","0.9","0.9","0.9","0.9","0.9","0.9"
"IMF.STA:RE(2.0.1)","U143.EG_GWH.FOSSILFUELS.A","OBS_VALUE","U143","Central Asia","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","170494.416","183848.983","180919.711","165055.502","197923.548","202114.861","0"
"IMF.STA:RE(2.0.1)","BDI.EIC_MW.SOLARENERGY.A","OBS_VALUE","BDI","Burundi","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","1.868","1.88","1.92","2.06","9.018","8.863","8.863"
"IMF.STA:RE(2.0.1)","CMR.EG_GWH.FOSSILFUELS.A","OBS_VALUE","CMR","Cameroon","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","1620.95","1925.57","1598.71","1593.02","1593.02","1593.02",""
"IMF.STA:RE(2.0.1)","BRA.EG_GWH.WINDENERGY.A","OBS_VALUE","BRA","Brazil","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","42373.258","48475.141","55985.622","57050.706","72285.975","81631.569",""
"IMF.STA:RE(2.0.1)","BFA.EG_GWH.SOLARENERGY.A","OBS_VALUE","BFA","Burkina Faso","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","15.047","84.692","91.24","90.352","92.774","92.944",""
"IMF.STA:RE(2.0.1)","ECU.EIC_MW.HYDROPOWER.A","OBS_VALUE","ECU","Ecuador","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","4515.96","5066.404","5076.404","5097.75","5098.746","5191.296","5192.296"
"IMF.STA:RE(2.0.1)","DOM.EIC_MW.SOLARENERGY.A","OBS_VALUE","DOM","Dominican Republic","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","94.95","191","334.8","385.5","583.8","735.169","1076.787"
"IMF.STA:RE(2.0.1)","U030.EG_GWH.HYDROPOWER.A","OBS_VALUE","U030","Eastern Asia","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","1269168.139","1300583.361","1371959.268","1420600.004","1402107.305","1407177.706","0"
"IMF.STA:RE(2.0.1)","SWZ.EIC_MW.BIOENERGY.A","OBS_VALUE","SWZ","Eswatini, Kingdom of","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","106","106","106","106","106","106","106"
"IMF.STA:RE(2.0.1)","U030.EIC_MW.BIOENERGY.A","OBS_VALUE","U030","Eastern Asia","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","16046.693","18512.207","23119.889","29259.061","34511.604","37412.153","40261.627"
